C,OPDP.WORLD,NETWORK_OUTAGE,AEMO,PUBLIC,2019/04/29,13:30:06,0000000307290523,NETWORK,0000000307290523
I,NETWORK,OUTAGEDETAIL,3,OUTAGEID,SUBSTATIONID,EQUIPMENTTYPE,EQUIPMENTID,STARTTIME,ENDTIME,SUBMITTEDDATE,OUTAGESTATUSCODE,RESUBMITREASON,RESUBMITOUTAGEID,RECALLTIMEDAY,RECALLTIMENIGHT,LASTCHANGED,REASON,ISSECONDARY,ACTUAL_STARTTIME,ACTUAL_ENDTIME,COMPANYREFCODE
D,NETWORK,OUTAGEDETAIL,3,810051,MARULAN,LINE,8,"2019/06/03 08:00:00","2019/06/21 19:00:00","2018/08/30 17:42:31",WDRAWN,,,1440,1440,"2018/12/06 12:32:58","HV equipt commissioning",0,,,TG_370700
D,NETWORK,OUTAGEDETAIL,3,810236,H5_WLGA,LINE,132KV_765,"2016/11/10 17:01:00","2019/04/30 23:59:00","2018/09/04 08:54:28",WDRAWN,"Information Update",821469,0,0,"2019/03/29 16:09:06","HV equipt maintenance",0,"2016/11/10 17:01:00",,16WB14018
D,NETWORK,OUTAGEDETAIL,3,810236,T12_KILK,LINE,132KV_765,"2016/11/10 17:01:00","2019/04/30 23:59:00","2018/09/04 08:54:28",WDRAWN,"Information Update",821469,0,0,"2019/03/29 16:09:06","HV equipt maintenance",0,"2016/11/10 17:01:00",,16WB14018
D,NETWORK,OUTAGEDETAIL,3,810297,DEVILS_G,LINE,SH_DG,"2018/10/01 07:00:00","2019/07/26 16:00:00","2018/09/04 17:36:50",WDRAWN,,,240,240,"2018/09/30 17:35:03","HV equipt maintenance",0,,,9000625-OUT1
D,NETWORK,OUTAGEDETAIL,3,810297,SHEFIELD,LINE,SH_DG,"2018/10/01 07:00:00","2019/07/26 16:00:00","2018/09/04 17:36:50",WDRAWN,,,240,240,"2018/09/30 17:35:03","HV equipt maintenance",0,,,9000625-OUT1
D,NETWORK,OUTAGEDETAIL,3,810790,MT_PIPER,LINE,71,"2019/09/30 08:00:00","2019/10/18 16:00:00","2018/09/13 15:33:38",SUBMIT,,,480,480,"2018/09/13 15:33:38","HV equipt commissioning",0,,,TG_401182
D,NETWORK,OUTAGEDETAIL,3,810790,WWANG,LINE,71,"2019/09/30 08:00:00","2019/10/18 16:00:00","2018/09/13 15:33:38",SUBMIT,,,480,480,"2018/09/13 15:33:38","HV equipt commissioning",0,,,TG_401182
D,NETWORK,OUTAGEDETAIL,3,810791,MT_PIPER,LINE,70,"2019/09/02 08:00:00","2019/09/18 17:00:00","2018/09/13 15:36:48",SUBMIT,,,480,480,"2018/09/13 15:36:48","HV equipt commissioning",0,,,TG_391175
D,NETWORK,OUTAGEDETAIL,3,810791,WWANG,LINE,70,"2019/09/02 08:00:00","2019/09/18 17:00:00","2018/09/13 15:36:48",SUBMIT,,,480,480,"2018/09/13 15:36:48","HV equipt commissioning",0,,,TG_391175
D,NETWORK,OUTAGEDETAIL,3,810792,INGLBURN,LINE,77,"2019/05/01 08:00:00","2019/05/17 17:00:00","2018/09/13 15:46:15",WDRAWN,"Information Update",818911,240,240,"2019/02/13 14:32:14","HV equipt commissioning",0,,,TG_391093
D,NETWORK,OUTAGEDETAIL,3,810792,WWANG,LINE,77,"2019/05/01 08:00:00","2019/05/17 17:00:00","2018/09/13 15:46:15",WDRAWN,"Information Update",818911,240,240,"2019/02/13 14:32:14","HV equipt commissioning",0,,,TG_391093
D,NETWORK,OUTAGEDETAIL,3,810793,SYD_STH,LINE,76,"2019/06/22 08:00:00","2019/07/10 17:00:00","2018/09/13 15:51:30",WDRAWN,,,240,240,"2019/02/14 07:37:21","HV equipt commissioning",0,,,TG_391101
D,NETWORK,OUTAGEDETAIL,3,810793,WWANG,LINE,76,"2019/06/22 08:00:00","2019/07/10 17:00:00","2018/09/13 15:51:30",WDRAWN,,,240,240,"2019/02/14 07:37:21","HV equipt commissioning",0,,,TG_391101
D,NETWORK,OUTAGEDETAIL,3,811095,H_VALL,CAP,C_62,"2019/04/23 09:00:00","2019/04/23 11:30:00","2018/09/18 11:48:38",COMPLETE,,,60,0,"2019/04/23 14:08:26","HV equipt maintenance",0,"2019/04/23 08:41:00","2019/04/23 11:01:00",64695
